 0  98.95  0.62  1  1 10.38
 1  72.67  0.46  1  1  4.45
 0  69.02  0.57  0  1  5.90
 0  90.98  1.00  1  1  6.70
 0  82.58  0.40  0  0  2.59
 0  92.56  1.24  1  1  6.52
 1  77.42  1.17  0  0  2.69
 0  82.53  0.96  1  1  0.84
 0  61.05  0.62  0  1  1.97
 1  92.56  0.33  1  0  2.69
 0  70.67  0.27  0  1  2.52
 1  62.54  1.06  1  0  4.19
 0  62.54  1.06  0  0  1.76
 1  62.54  0.51  1  1  1.90
 0  67.44  0.33  0  0  1.05
 1  74.25  0.23  1  1  1.11
 1  74.25  1.34  0  0  2.26
 1  61.05  0.95  1  0  1.56
 1  72.67  1.11  0  1  1.20
 1  89.33  0.27  1  0  4.67
 0  78.06  0.21  0  0  3.19
 1  60.30  0.73  1  1  4.89
 0  90.98  0.57  1  1  1.87
 0  86.10  0.71  1  1  2.59
 1  67.05  0.71  1  0  1.16
 1  77.42  0.40  1  1  1.07
 0  89.33  1.30  1  0  5.30
 0  62.54  0.51  0  1  1.69
 1  78.06  0.21  1  1  2.18
 1  67.05  0.86  1  1  1.44
 0  92.95  0.86  1  0  0.93
 1  98.95  0.62  0  0  1.22
 0  64.69  0.42  0  0  2.73
 1  97.46  1.06  0  0  2.03
 0  74.25  1.34  1  0  2.77
 0  72.67  1.11  1  0  0.49
 0  82.58  1.17  1  1  0.42
 0  67.44  1.24  1  0  0.43
 0  98.95  0.95  1  0  0.31
 0  99.70  0.84  1  1  0.60
 1  61.05  0.62  1  0  0.62
 0  95.31  0.42  1  1  0.39
 1  89.33  1.30  0  0  1.25
 0  78.06  1.37  1  1  0.63
 0  61.05  0.95  0  0  1.36
 1  82.53  0.61  0  0  1.70
 0  89.33  0.27  0  1  1.84
 1  64.69  1.16  1  0  0.62
 1  70.67  0.27  1  0  0.43
 1  77.47  0.61  1  0  1.70
 1  86.10  0.71  0  0  0.35
 1  85.75  0.23  1  1  0.51
 1  82.58  0.40  1  1  0.53
 0  92.56  0.33  0  1  0.71
 1  77.47  0.96  0  0  0.87
 1  87.33  0.46  1  1  0.67
 0  77.42  0.40  0  1  0.53
 0  87.33  0.46  0  0  4.34
 0  97.46  0.51  0  0  1.00
 1  73.90  0.71  1  1  2.60
 0  70.67  1.30  0  0  1.78
 1  60.30  0.84  1  1  0.93
 0  77.42  1.17  1  0  0.99
 1  95.31  1.16  0  1  3.57
 1  67.44  0.33  1  0  2.15
 0  74.25  0.23  0  0  1.16
 0  64.69  1.16  0  1  2.00
 1  81.94  1.37  0  0  1.10
 1  77.47  0.61  0  1  0.77
 1  82.53  0.96  0  0  1.22
 1  90.98  1.00  0  1  0.94
 1  86.10  0.86  0  1  0.80
 0  81.94  1.37  1  0  0.95
 0  69.02  1.00  0  1  3.67
 0  87.33  1.11  1  0  1.13
 0  95.31  0.42  0  1  2.44
 1  99.70  0.73  0  0  1.31
 0  97.46  0.51  1  0  0.74
 0  67.05  0.86  0  1  1.35
 1  78.06  1.37  0  0  0.68
 0  60.30  0.73  0  0  0.66
 0  95.31  1.16  1  0  0.83
 1  73.90  0.86  1  0  0.91
 0  92.95  0.71  1  0  0.88
 0  86.10  0.86  1  0  0.71
 1  69.02  1.00  1  1  0.73
 1  98.95  0.95  0  1  0.99
 0  85.75  0.23  0  1  1.20
 1  92.95  0.86  0  0  0.42
 0  97.46  1.06  1  0  0.98
 1  82.53  0.61  1  1  0.88
 1  73.90  0.71  0  1  1.01
 1  85.75  1.34  0  0  0.61
 0  77.47  0.96  1  1  0.57
 1  81.94  0.21  1  0  0.69
 1  87.33  1.11  0  1  0.65
 0  72.67  0.46  0  1  0.67
 0  81.94  0.21  0  0  2.99
 1  90.98  0.57  0  0  0.67
 1  73.90  0.86  0  1  0.75
 1  99.70  0.84  0  1  0.97
 0  99.70  0.73  1  0  1.88
 0  85.75  1.34  1  0  1.40
 0  70.67  1.30  1  1  0.69
 0  67.44  1.24  0  0  0.32
 0  60.30  0.84  0  1  1.61
 1  64.69  0.42  1  0  0.46
 1  92.95  0.71  0  1  0.48
 1  92.56  1.24  0  1  0.62
 0  67.05  0.71  0  0  0.47
 1  69.02  0.57  1  0  0.37
 1  82.58  1.17  0  1  0.28
 1  89.33  1.30  0  1  2.40
 0  67.44  1.24  1  0  0.90
 0  70.67  1.30  1  0  0.48
 1  99.70  0.73  0  1  0.38
 0  78.06  0.21  0  0  0.29
 1  78.06  1.37  0  1  0.24
 0  85.75  0.23  0  1  0.26
 0  60.30  0.84  0  1  0.45
 0  67.05  0.71  0  0  0.28
 0  77.47  0.96  1  1  0.36
 1  73.90  0.86  0  0  0.30
 1  61.05  0.95  1  1  0.24
 0  97.46  0.51  1  1  0.32
 1  81.94  0.21  1  0  0.27
 1  60.30  0.73  1  1  0.76
 1  64.69  1.16  1  0  0.31
 1  67.05  0.71  1  1  0.36
 0  86.10  0.86  1  1  0.49
 1  87.33  0.46  1  0  1.42
 0  86.10  0.71  1  0  0.43
 0  62.54  0.51  0  1  0.70
 0  70.67  1.30  0  0  0.97
 0  97.46  0.51  0  0  0.83
 0  77.42  0.40  0  1  1.01
 1  97.46  1.06  0  0  0.73
 0  62.54  1.06  0  1  0.52
 0  92.56  1.24  1  0  0.39
 1  85.75  1.34  0  0  0.66
 1  61.05  0.62  1  1  0.45
 0  82.58  1.17  1  1  1.00
 1  82.53  0.96  0  1  0.45
 1  69.02  1.00  1  0  0.34
 1  90.98  1.00  0  0  0.54
 1  74.25  0.23  1  0  0.45
 0  74.25  0.23  0  0  1.07
 1  67.44  0.33  1  0  0.67
 1  92.56  1.24  0  1  0.67
 0  74.25  1.34  1  1  0.53
