,block,cue_rec,index,sub,x,y,cat,resp,cue,acc_rec
0,0.0,0.0,36128.818181818184,65.5,49.14859252422705,54.19278996865203,0.5227272727272727,0.5056818181818182,0.4715909090909091,0.09090909090909091
1,0.0,1.0,36130.333333333336,65.5,49.51723773265652,45.52801724137931,0.5208333333333334,0.4791666666666667,0.5486111111111112,0.2222222222222222
2,1.0,0.0,36152.0,65.5,50.66878172588832,49.057112068965516,0.425,0.53125,0.4625,0.5
3,1.0,1.0,36147.0,65.5,50.27157360406092,47.54849137931035,0.525,0.55,0.49375,0.5
4,2.0,0.0,36173.22222222222,65.5,49.683798646362106,49.19181034482759,0.4930555555555556,0.4513888888888889,0.4513888888888889,0.2222222222222222
5,2.0,1.0,36166.454545454544,65.5,47.44130710659899,49.90203761755485,0.4715909090909091,0.5227272727272727,0.5625,0.18181818181818182
6,3.0,0.0,36189.166666666664,65.5,50.893744712351946,47.00520833333332,0.6145833333333334,0.5416666666666666,0.4114583333333333,0.25
7,3.0,1.0,36190.0,65.5,53.54398001269036,50.814924568965516,0.5,0.59375,0.5625,0.375
8,4.0,0.0,36207.333333333336,65.5,46.88002326565144,51.993534482758626,0.5208333333333334,0.5104166666666666,0.4583333333333333,0.16666666666666666
9,4.0,1.0,36210.42857142857,65.5,50.36224166062364,49.94612068965517,0.45982142857142855,0.5401785714285714,0.6116071428571429,0.2857142857142857
10,5.0,0.0,36228.166666666664,65.5,49.72649640439932,47.96605603448276,0.4739583333333333,0.5677083333333334,0.4375,0.4166666666666667
11,5.0,1.0,36231.5,65.5,54.148358185279186,50.54552801724138,0.5859375,0.59375,0.5234375,0.375
12,6.0,0.0,36250.333333333336,65.5,45.90454032712917,53.75359195402299,0.4930555555555556,0.5208333333333334,0.4930555555555556,0.3333333333333333
13,6.0,1.0,36248.818181818184,65.5,54.69009575449931,53.742163009404386,0.5284090909090909,0.5568181818181818,0.48295454545454547,0.45454545454545453
14,7.0,0.0,36268.88888888889,65.5,48.85469543147209,49.16187739463601,0.5069444444444444,0.5416666666666666,0.4583333333333333,0.4444444444444444
15,7.0,1.0,36270.0,65.5,47.086121365943704,47.580329153605014,0.4602272727272727,0.5056818181818182,0.48295454545454547,0.2727272727272727
16,8.0,0.0,36290.1,65.5,48.87293781725889,47.279094827586206,0.475,0.525,0.475,0.1
17,8.0,1.0,36288.9,65.5,51.82788705583757,46.80495689655172,0.51875,0.51875,0.5,0.1
18,9.0,0.0,36308.53846153846,65.5,50.13922784068723,50.27768567639258,0.5144230769230769,0.5673076923076923,0.5336538461538461,0.15384615384615385
19,9.0,1.0,36311.28571428572,65.5,47.17730239303844,51.44704433497537,0.4642857142857143,0.5535714285714286,0.5089285714285714,0.42857142857142855
20,10.0,0.0,36330.6,65.5,50.76443527918782,47.65625,0.5125,0.53125,0.525,0.3
21,10.0,1.0,36328.4,65.5,50.80805837563453,49.256465517241374,0.44375,0.55,0.5125,0.3
22,11.0,0.0,36350.625,65.5,50.629758883248726,49.56223060344827,0.5234375,0.625,0.46875,0.5
23,11.0,1.0,36348.75,65.5,49.089863578680216,54.741379310344826,0.4583333333333333,0.4375,0.5416666666666666,0.3333333333333333
24,12.0,0.0,36368.545454545456,65.5,49.344571988924784,48.819553291536046,0.48863636363636365,0.48863636363636365,0.4772727272727273,0.2727272727272727
25,12.0,1.0,36370.666666666664,65.5,48.696418499718,51.81393678160919,0.4791666666666667,0.5902777777777778,0.5833333333333334,0.4444444444444444
26,13.0,0.0,36387.42857142857,65.5,47.571383248730974,53.348214285714285,0.5178571428571429,0.5625,0.4642857142857143,0.2857142857142857
27,13.0,1.0,36390.61538461538,65.5,52.00312377977353,46.543435013262595,0.46634615384615385,0.5192307692307693,0.5,0.6153846153846154
28,14.0,0.0,36410.454545454544,65.5,50.24486617443471,49.09874608150471,0.5113636363636364,0.5965909090909091,0.42045454545454547,0.36363636363636365
29,14.0,1.0,36408.333333333336,65.5,49.368302312464756,46.21647509578544,0.5069444444444444,0.5277777777777778,0.5416666666666666,0.1111111111111111
30,15.0,0.0,36428.0,65.5,49.442734771573605,50.78125,0.54375,0.5375,0.50625,0.2
31,15.0,1.0,36431.0,65.5,51.36278553299493,50.04310344827587,0.50625,0.55625,0.49375,0.1
32,16.0,0.0,36449.333333333336,65.5,50.628436971235196,51.63433908045977,0.4895833333333333,0.609375,0.4895833333333333,0.25
33,16.0,1.0,36449.75,65.5,49.630591687817265,47.56869612068965,0.4921875,0.6171875,0.515625,0.125
34,17.0,0.0,36470.0,65.5,52.93020304568529,51.85344827586206,0.525,0.5625,0.4875,0.1
35,17.0,1.0,36469.0,65.5,52.88769035532995,48.60452586206897,0.48125,0.53125,0.4875,0.4
36,18.0,0.0,36489.61538461538,65.5,51.425956657555645,50.04144562334217,0.4855769230769231,0.5480769230769231,0.4807692307692308,0.15384615384615385
37,18.0,1.0,36489.28571428572,65.5,45.69864938361132,47.44458128078818,0.5089285714285714,0.48214285714285715,0.5357142857142857,0.14285714285714285
38,19.0,0.0,36508.833333333336,65.5,48.22202834179357,54.65158045977011,0.5,0.5520833333333334,0.4166666666666667,0.16666666666666666
39,19.0,1.0,36509.78571428572,65.5,47.18987944162438,47.91410098522168,0.5357142857142857,0.5357142857142857,0.5758928571428571,0.35714285714285715
40,20.0,0.0,36528.6,65.5,47.91624365482234,49.26724137931034,0.49375,0.54375,0.45625,0.4
41,20.0,1.0,36530.4,65.5,50.47810913705584,51.31465517241378,0.5125,0.55625,0.55625,0.2
42,21.0,0.0,36549.0,65.5,48.67322335025381,50.075431034482754,0.48125,0.53125,0.425,0.4
43,21.0,1.0,36550.0,65.5,51.537436548223354,46.58405172413793,0.475,0.575,0.5625,0.4
44,22.0,0.0,36568.75,65.5,48.608951988155674,49.371408045977,0.484375,0.5833333333333334,0.5052083333333334,0.4166666666666667
45,22.0,1.0,36570.625,65.5,51.14510628172589,49.60937499999999,0.5234375,0.5,0.578125,0.25
46,23.0,0.0,36589.916666666664,65.5,49.60858185279188,50.08081896551723,0.515625,0.5364583333333334,0.4427083333333333,0.25
47,23.0,1.0,36588.875,65.5,45.43722239847717,50.484913793103445,0.53125,0.5546875,0.5390625,0.5
48,24.0,0.0,36607.875,65.5,47.84977791878173,51.05064655172413,0.5,0.5625,0.4765625,0.5
49,24.0,1.0,36610.583333333336,65.5,50.66558269881557,50.76329022988505,0.4479166666666667,0.515625,0.5520833333333334,0.16666666666666666
50,25.0,0.0,36629.375,65.5,51.121708439086305,49.070581896551715,0.5859375,0.5390625,0.4140625,0.375
51,25.0,1.0,36629.583333333336,65.5,53.028632614213194,48.513829022988496,0.4947916666666667,0.5677083333333334,0.5104166666666666,0.25
52,26.0,0.0,36651.083333333336,65.5,50.639937605752955,50.637571839080465,0.484375,0.578125,0.46875,0.3333333333333333
53,26.0,1.0,36647.125,65.5,53.84894511421321,47.59563577586207,0.515625,0.53125,0.53125,0.5
54,27.0,0.0,36668.444444444445,65.5,50.48593485617599,51.53855363984674,0.5138888888888888,0.5625,0.4583333333333333,0.0
55,27.0,1.0,36670.36363636364,65.5,49.64380479926165,46.04721786833856,0.4715909090909091,0.5113636363636364,0.5056818181818182,0.45454545454545453
