,Unnamed: 0,cnd,sub,cue,block,level_4,p,nll,bic,model,best_model
34,34,cj2cr,1,0,2,0,0.9999515346205669,38.408562438612016,90.97262149110931,nll_glc_0,nll_unix_0
35,35,cj2cr,1,0,2,1,-52.93395145201088,38.408562438612016,90.97262149110931,nll_glc_0,nll_unix_0
36,36,cj2cr,1,0,2,2,49.99173312407184,38.408562438612016,90.97262149110931,nll_glc_0,nll_unix_0
37,37,cj2cr,1,0,2,0,-0.9834210311048632,38.27606006713231,90.70761674814987,nll_glc_1,nll_unix_0
38,38,cj2cr,1,0,2,1,42.79615780164279,38.27606006713231,90.70761674814987,nll_glc_1,nll_unix_0
39,39,cj2cr,1,0,2,2,49.99749474257894,38.27606006713231,90.70761674814987,nll_glc_1,nll_unix_0
40,40,cj2cr,1,0,2,0,70.6240783932744,38.61707240883962,91.38964143156453,nll_gcc_eq_0,nll_unix_0
41,41,cj2cr,1,0,2,1,99.92959240937735,38.61707240883962,91.38964143156453,nll_gcc_eq_0,nll_unix_0
42,42,cj2cr,1,0,2,2,49.946081803992776,38.61707240883962,91.38964143156453,nll_gcc_eq_0,nll_unix_0
43,43,cj2cr,1,0,2,0,68.95004066696093,38.612443208291715,91.38038303046869,nll_gcc_eq_1,nll_unix_0
44,44,cj2cr,1,0,2,1,99.89940989938032,38.612443208291715,91.38038303046869,nll_gcc_eq_1,nll_unix_0
45,45,cj2cr,1,0,2,2,49.99300517317268,38.612443208291715,91.38038303046869,nll_gcc_eq_1,nll_unix_0
46,46,cj2cr,1,0,2,0,0.11982056919536888,47.446519586008215,109.04853578590168,nll_gcc_eq_2,nll_unix_0
47,47,cj2cr,1,0,2,1,69.12370899944025,47.446519586008215,109.04853578590168,nll_gcc_eq_2,nll_unix_0
48,48,cj2cr,1,0,2,2,49.98956822735377,47.446519586008215,109.04853578590168,nll_gcc_eq_2,nll_unix_0
49,49,cj2cr,1,0,2,0,70.18977396212638,38.60975637576468,91.37500936541464,nll_gcc_eq_3,nll_unix_0
50,50,cj2cr,1,0,2,1,99.97889879434813,38.60975637576468,91.37500936541464,nll_gcc_eq_3,nll_unix_0
51,51,cj2cr,1,0,2,2,49.993144132214915,38.60975637576468,91.37500936541464,nll_gcc_eq_3,nll_unix_0
52,52,cj2cr,1,0,3,0,53.06455134713254,48.570409674733774,106.57781709205773,nll_unix_0,nll_uniy_1
53,53,cj2cr,1,0,3,1,49.997945721667634,48.570409674733774,106.57781709205773,nll_unix_0,nll_uniy_1
54,54,cj2cr,1,0,3,0,47.00972567646107,41.70117995603695,92.8393576546641,nll_unix_1,nll_uniy_1
55,55,cj2cr,1,0,3,1,49.997895895798365,41.70117995603695,92.8393576546641,nll_unix_1,nll_uniy_1
56,56,cj2cr,1,0,3,0,51.410513547283344,51.029324828476526,111.49564739954323,nll_uniy_0,nll_uniy_1
57,57,cj2cr,1,0,3,1,49.99618989124522,51.029324828476526,111.49564739954323,nll_uniy_0,nll_uniy_1
58,58,cj2cr,1,0,3,0,48.23426408077432,39.317659473772366,88.07231669013494,nll_uniy_1,nll_uniy_1
59,59,cj2cr,1,0,3,1,49.95801485678733,39.317659473772366,88.07231669013494,nll_uniy_1,nll_uniy_1
60,60,cj2cr,1,0,3,0,-0.9999989226734044,41.709698270496496,97.57489315487824,nll_glc_0,nll_uniy_1
61,61,cj2cr,1,0,3,1,47.1495877101441,41.709698270496496,97.57489315487824,nll_glc_0,nll_uniy_1
62,62,cj2cr,1,0,3,2,49.997084049768354,41.709698270496496,97.57489315487824,nll_glc_0,nll_uniy_1
63,63,cj2cr,1,0,3,0,0.5277396258586573,38.40134933652756,90.95819528694041,nll_glc_1,nll_uniy_1
64,64,cj2cr,1,0,3,1,-65.87408662843812,38.40134933652756,90.95819528694041,nll_glc_1,nll_uniy_1
65,65,cj2cr,1,0,3,2,49.98436255336886,38.40134933652756,90.95819528694041,nll_glc_1,nll_uniy_1
66,66,cj2cr,1,0,3,0,73.65120045135238,47.654818044832474,109.46513270355024,nll_gcc_eq_0,nll_uniy_1
67,67,cj2cr,1,0,3,1,99.1532600484463,47.654818044832474,109.46513270355024,nll_gcc_eq_0,nll_uniy_1
68,68,cj2cr,1,0,3,2,49.99291212821791,47.654818044832474,109.46513270355024,nll_gcc_eq_0,nll_uniy_1
69,69,cj2cr,1,0,3,0,73.34358979763238,47.654659008539454,109.46481463096418,nll_gcc_eq_1,nll_uniy_1
70,70,cj2cr,1,0,3,1,99.32345165681772,47.654659008539454,109.46481463096418,nll_gcc_eq_1,nll_uniy_1
71,71,cj2cr,1,0,3,2,49.992454345707905,47.654659008539454,109.46481463096418,nll_gcc_eq_1,nll_uniy_1
72,72,cj2cr,1,0,3,0,33.72522984963605,43.79114559707986,101.737787808045,nll_gcc_eq_2,nll_uniy_1
73,73,cj2cr,1,0,3,1,99.9625603870503,43.79114559707986,101.737787808045,nll_gcc_eq_2,nll_uniy_1
74,74,cj2cr,1,0,3,2,49.99666985041696,43.79114559707986,101.737787808045,nll_gcc_eq_2,nll_uniy_1
75,75,cj2cr,1,0,3,0,73.79339732913077,47.65407380584469,109.46364422557464,nll_gcc_eq_3,nll_uniy_1
76,76,cj2cr,1,0,3,1,99.79494283412576,47.65407380584469,109.46364422557464,nll_gcc_eq_3,nll_uniy_1
77,77,cj2cr,1,0,3,2,49.9908702468204,47.65407380584469,109.46364422557464,nll_gcc_eq_3,nll_uniy_1
78,78,cj2cr,1,0,4,0,65.27439372288669,42.88695857082425,95.21091488423868,nll_unix_0,nll_uniy_1
79,79,cj2cr,1,0,4,1,49.994492229010966,42.88695857082425,95.21091488423868,nll_unix_0,nll_uniy_1
80,80,cj2cr,1,0,4,0,35.249065330033524,44.454047876544145,98.34509349567848,nll_unix_1,nll_uniy_1
81,81,cj2cr,1,0,4,1,49.999745338916505,44.454047876544145,98.34509349567848,nll_unix_1,nll_uniy_1
82,82,cj2cr,1,0,4,0,64.37440050209757,45.270976743286674,99.97895122916356,nll_uniy_0,nll_uniy_1
83,83,cj2cr,1,0,4,1,49.999230056271905,45.270976743286674,99.97895122916356,nll_uniy_0,nll_uniy_1
84,84,cj2cr,1,0,4,0,34.37168162694877,42.04149821827205,93.51999417913427,nll_uniy_1,nll_uniy_1
